"Float time : Year";23;23;23;23;23;23;23;23;23;23;23;23;23;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24
"Pressure sensor offset (cbar)";-2;0;0;0;-2;-2;-1;-1;0;-2;0;-1;1;0;0;-1;-1;-2;0;0;-1;-1;-3;-2;-2;-1;-1;-2;-2;-1;0;0;-1;-1;0;0;-1;0;-2;-1;-1;-2;0
"Internal pressure (mbar)";595;595;590;590;590;590;585;585;585;585;585;585;585;585;585;580;585;585;585;585;585;585;585;585;585;585;585;585;590;590;590;590;590;590;595;590;590;590;595;595;590;585;585
"Batteries voltage at Pmax (V)";9.7;9.7;9.7;9.7;9.7;9.7;9.6;9.6;9.6;9.6;9.7;9.6;9.7;9.6;9.7;9.7;9.7;9.7;9.7;9.6;9.7;9.7;9.6;9.7;9.7;9.6;9.6;9.6;9.6;9.7;9.7;9.6;9.7;9.7;9.7;9.7;9.6;9.6;9.7;9.7;9.7;9.7;9.7
"RTC state indicator (normal=0 failure=1)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Coherence problem counter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Dissolved oxygen sensor state (0=Ok 1=Pb 2=None)";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"-----GPS DATA-----";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GPS latitude (°)";59;59;59;59;59;59;59;58;58;58;58;57;57;57;57;58;58;57;58;58;58;58;58;58;58;59;59;58;57;57;58;58;59;59;59;60;59;59;59;59;61;61;61
"GPS latitude (minutes)";22;35;10;8;6;8;12;58;43;41;22;54;50;53;58;8;3;56;5;14;29;1;26;23;36;37;34;25;35;53;21;58;25;15;51;0;53;29;26;54;5;12;0
"GPS latitude (minutes fractions (4th))";5919;7067;9325;7547;9561;4866;2575;1460;476;1482;5477;505;3647;2660;5149;9909;6155;7942;395;8181;1710;3971;940;3493;6922;9889;4740;4385;7783;8869;7499;8167;4617;8358;29;373;1477;4622;408;5325;5866;8110;8329
"GPS latitude orientation (0=North 1=South)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"GPS longitude (°)";54;54;54;54;54;54;54;54;54;54;54;53;53;53;54;54;54;54;54;54;53;53;52;53;53;52;49;49;51;51;52;52;52;52;52;52;53;53;52;53;53;53;53
"GPS longitude (minutes)";41;34;21;16;37;37;30;19;11;27;19;45;41;45;18;35;34;7;9;16;47;40;34;19;46;1;17;38;1;38;17;38;25;15;28;55;10;38;59;38;18;39;44
"GPS longitude (minutes fractions (4th))";7069;2594;3302;1255;1084;5431;5125;9606;6500;2317;7171;2271;5160;1597;4832;8537;2599;5410;1041;8358;5323;2041;9794;9624;8851;8263;7485;4737;1769;1625;126;2323;7209;7682;1913;8370;1734;8540;5732;4610;2190;5339;3863
"GPS longitude orientation (0=East 1=West)";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"GPS valid fix (1=valid 0=not valid)";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Session duration (second)";40;26;32;45;38;38;99;42;35;57;32;90;42;38;35;68;27;85;57;46;39;28;32;26;79;25;40;32;35;36;66;27;34;36;38;36;36;40;25;25;31;42;31
""
"Pumping delay for GPS emergence (s)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Antenna status (0=DontKnow 1=Ok 2=Short 3=Open)";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"-----END OF LIFE-----";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"End of life flag";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hour;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minute;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Second;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Day;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Month;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-----SYSTEM-----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"System calendar retiming (Old - New)(Usable only on GPS valid fix) (second)";-21;-21;-21;-21;-20;-20;-20;-20;-20;-20;-22;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21;-21
""
